院校,专业名称,最低分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,计算机应用技术,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,软件技术,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,虚拟现实技术应用,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,人工智能技术应用,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,电子商务,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,网络营销与直播电商,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州科技职业学院,数字媒体艺术设计,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州职业技术学院,软件技术,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州职业技术学院,数字媒体技术,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州职业技术学院,人工智能技术应用,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州职业技术学院,广告艺术设计,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
